BirdID,TripID,Displacement,Length,Duration,NumDives,AverageMaxDiveDepth,MaxDiveDepth,AverageDiveDuration,MaxDiveDuration,TotalDurationDives,Year,Sex,Weight
180.00000000,1.00000000,186.30604619,474.16447398,103544.00000000,17.00000000,3.21810439,8.41265873,3.64117647,19.10000000,61.90000000,2012.00000000,1.00000000,3025.00000000
181.00000000,1.00000000,123.47378215,448.53605137,78052.00000000,6.00000000,2.46941276,3.63018971,2.43333333,4.30000000,14.60000000,2012.00000000,0.00000000,2650.00000000
198.00000000,1.00000000,161.03708925,552.58408584,80544.00000000,22.00000000,6.35932109,7.51530847,4.72727273,11.00000000,104.00000000,2012.00000000,1.00000000,3150.00000000
199.00000000,1.00000000,223.67988608,572.55847841,108596.00000000,15.00000000,3.67165817,7.18899928,3.40000000,6.00000000,51.00000000,2012.00000000,1.00000000,2900.00000000
200.00000000,1.00000000,135.11486042,367.32047941,89798.00000000,3.00000000,5.48947226,8.63699630,16.33333333,27.00000000,49.00000000,2012.00000000,1.00000000,3050.00000000
201.00000000,1.00000000,157.09201702,525.01896878,84044.00000000,23.00000000,2.81264332,6.90347874,3.13043478,10.00000000,72.00000000,2012.00000000,0.00000000,2750.00000000
202.00000000,1.00000000,145.13108277,337.67129357,71480.00000000,14.00000000,5.27557465,10.89056912,5.64285714,18.00000000,79.00000000,2012.00000000,0.00000000,2850.00000000
203.00000000,1.00000000,237.83023215,669.08157750,99040.00000000,27.00000000,3.71365537,7.51530847,3.66666667,8.00000000,99.00000000,2012.00000000,0.00000000,2650.00000000
204.00000000,1.00000000,65.38753412,210.31688705,55879.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2012.00000000,0.00000000,2750.00000000
205.00000000,1.00000000,243.91739132,713.43576404,182268.00000000,32.00000000,3.62158585,6.58736672,3.00000000,9.10000000,96.00000000,2012.00000000,1.00000000,2850.00000000
205.00000000,2.00000000,84.52458852,92.80499757,5391.00000000,2.00000000,3.21720464,4.33379389,2.50000000,3.10000000,5.00000000,2012.00000000,1.00000000,2850.00000000
206.00000000,1.00000000,110.93405698,715.45566839,149171.00000000,66.00000000,3.62833568,10.06459899,2.91818182,28.30000000,192.60000000,2012.00000000,1.00000000,2850.00000000
227.00000000,1.00000000,78.74658310,263.93649446,77122.00000000,12.00000000,3.85112822,5.49627037,4.58333333,14.00000000,55.00000000,2012.00000000,0.00000000,NaN
227.00000000,2.00000000,109.53853529,241.44388357,43987.00000000,37.00000000,3.33419641,7.28077374,4.02702703,18.00000000,149.00000000,2012.00000000,0.00000000,NaN
228.00000000,1.00000000,81.92176328,255.96232841,52850.00000000,17.00000000,3.34706850,5.73080510,2.94117647,6.00000000,50.00000000,2012.00000000,0.00000000,NaN
228.00000000,2.00000000,96.00231972,256.62108758,47875.00000000,13.00000000,6.11202208,10.01361318,10.53846154,35.00000000,137.00000000,2012.00000000,0.00000000,NaN
228.00000000,3.00000000,90.63953768,403.67961683,73920.00000000,29.00000000,3.86402118,6.80150712,3.93103448,11.00000000,114.00000000,2012.00000000,0.00000000,NaN
229.00000000,1.00000000,91.57242062,237.84364571,30756.00000000,28.00000000,3.13708408,5.09858105,2.82142857,6.00000000,79.00000000,2012.00000000,0.00000000,NaN
229.00000000,2.00000000,143.39692829,464.62113980,94276.00000000,75.00000000,4.09422856,7.98437792,5.44000000,39.00000000,408.00000000,2012.00000000,0.00000000,NaN
230.00000000,1.00000000,56.24780932,191.63387072,52125.00000000,9.00000000,4.44256362,12.40994628,9.33333333,24.00000000,84.00000000,2012.00000000,0.00000000,NaN
230.00000000,2.00000000,81.91117773,220.53407862,22629.00000000,7.00000000,3.21210606,4.20123079,3.57142857,4.00000000,25.00000000,2012.00000000,0.00000000,NaN
230.00000000,3.00000000,148.73497472,507.81760960,82134.00000000,33.00000000,3.50905978,6.36302915,3.96969697,14.00000000,131.00000000,2012.00000000,0.00000000,NaN
243.00000000,1.00000000,189.40073121,761.37570394,164758.00000000,25.00000000,3.34099819,7.53570279,4.60000000,19.00000000,115.00000000,2013.00000000,0.00000000,2500.00000000
244.00000000,1.00000000,171.93565780,399.25095158,63463.00000000,2.00000000,4.53773713,6.16928307,8.00000000,11.00000000,16.00000000,2013.00000000,0.00000000,2950.00000000
245.00000000,1.00000000,110.90292353,296.71219601,64867.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,0.00000000,2750.00000000
246.00000000,1.00000000,193.75913927,564.24750026,132214.00000000,39.00000000,3.54259870,6.08770577,3.23076923,7.00000000,126.00000000,2013.00000000,1.00000000,3200.00000000
247.00000000,1.00000000,276.70396003,625.49172339,80780.00000000,3.00000000,3.32087579,3.97689322,4.43333333,7.90000000,13.30000000,2013.00000000,0.00000000,3050.00000000
248.00000000,1.00000000,102.18497381,289.39880307,71885.00000000,2.00000000,4.04317477,6.04691713,6.10000000,9.90000000,12.20000000,2013.00000000,1.00000000,2800.00000000
249.00000000,1.00000000,92.55257942,297.89334419,45107.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,0.00000000,2900.00000000
250.00000000,1.00000000,153.79382722,388.59588307,81643.00000000,15.00000000,4.04623392,6.62815537,3.07333333,5.10000000,46.10000000,2013.00000000,1.00000000,3200.00000000
252.00000000,1.00000000,220.56072262,806.19928261,175162.00000000,125.00000000,4.05806263,6.81170428,3.21840000,5.50000000,402.30000000,2013.00000000,1.00000000,2850.00000000
252.00000000,2.00000000,216.75801427,275.45127526,30762.00000000,21.00000000,4.08372063,6.24066321,3.10000000,4.30000000,65.10000000,2013.00000000,1.00000000,2850.00000000
253.00000000,1.00000000,34.62751371,71.95639518,9673.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,0.00000000,3000.00000000
254.00000000,1.00000000,128.31312586,367.23024922,94016.00000000,16.00000000,6.85504222,11.53299034,5.32500000,33.90000000,85.20000000,2013.00000000,1.00000000,3100.00000000
264.00000000,1.00000000,112.01224639,343.29569823,55622.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,1.00000000,3400.00000000
264.00000000,2.00000000,106.61374849,342.48520631,65975.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,1.00000000,3400.00000000
264.00000000,3.00000000,47.94073163,123.47541862,17723.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,1.00000000,3400.00000000
264.00000000,4.00000000,107.21402211,274.06201982,58177.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,1.00000000,3400.00000000
265.00000000,1.00000000,125.11937783,389.94957565,73860.00000000,18.00000000,5.38863366,8.66758779,2.83333333,5.10000000,51.00000000,2013.00000000,1.00000000,2950.00000000
265.00000000,2.00000000,107.65196794,274.90071035,77481.00000000,0.00000000,NaN,NaN,NaN,NaN,0.00000000,2013.00000000,1.00000000,2950.00000000
265.00000000,3.00000000,178.45804469,511.74791939,88433.00000000,8.00000000,5.22094700,8.53502468,2.90000000,4.70000000,23.20000000,2013.00000000,1.00000000,2950.00000000
