BirdID,Trip,Date,Year,Time,DateTime,UniqueID,TagType,Sex,Duration,MaxDepth,DiveShape,ActiveSwimTime,Fdens,Fdist,Fside,Gdens,Log_hu3,VertDif_WaterTemp,Zeta,CurrentSpeed,Bathy,WindSpeed,DateTime2,diveshpchr,sexchr,bird_trip_year,Sttime,Entime,trip_dur,distmax,disttime,distdifftime,distlon,distlat,TripMaxDisplacement,TripDuration,TripLength,NoDivesPerformed,DiveDurationUnderwater,difftime,ppn_trip,total_dives,ndives,ppn_dives,nprevdives,ppn_prevdives,distance,leg,distaldistance,x,y,distaldistance2,diststandard,diffsttime,diffentime,ppn_distance,hour
997,1,28/07/2013,2013,20:05:24,41483.837084490704,2841,CEFAS,0,0.7,3.4364436277,0,0.4,0,12,1,0.00143,5.7318953396,5.27023213492,1.694269299507,0.597731401578,64.20016479492,7.8555764270994,2013-07-28T20:05:24Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,510.4,0.38843226788432267,27,10,0.37037037037037035,9,0.3333333333333333,120751.77073712875,Outbound,6477.529578648,-5.31153840822,50.6344368742,-6477.529578648,-477.6,-988,326,0.9626205406803575,20
997,1,29/07/2013,2013,04:53:45,41484.203994213,2842,CEFAS,0,1.5,3.4976266003,0,1.3,0,16,1,0,10.491897586,6.6505383266500004,-2.35728096962,0.121829658842,67.49496459961,9.3398831666202,2013-07-29T04:53:45Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1038.75,0.7905251141552512,27,11,0.4074074074074074,10,0.37037037037037035,114541.03464392187,Inbound,11305.2969699812,-5.30110671194,50.6911660632,11305.2969699812,50.75,-988,326,0.9131091993594842,4
997,1,29/07/2013,2013,04:55:30,41484.2052094907,2843,CEFAS,0,3.1,5.6696221276,0,1.3,0,16,1,0,10.491897586,6.6505383266500004,-2.35728096962,0.121829658842,67.49496459961,9.3398831666202,2013-07-29T04:55:30Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1040.5,0.7918569254185692,27,12,0.4444444444444444,11,0.4074074074074074,114581.46274708638,Inbound,11305.0146671958,-5.30296119119,50.6906835527,11305.0146671958,52.5,-988,326,0.913431487987546,4
997,1,29/07/2013,2013,04:57:20,41484.206482638896,2844,CEFAS,0,1.1,3.1815145752,0,0.8,0,16,1,0,10.491897586,6.6505383266500004,-2.35728096962,0.121829658842,67.49496459961,9.3398831666202,2013-07-29T04:57:20Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1042.33333333333,0.7932521562658549,27,13,0.48148148148148145,12,0.4444444444444444,114760.98755097185,Inbound,11056.2805881017,-5.29886195023,50.689321392,11056.2805881017,54.3333333333333,-988,326,0.9148626410275953,4
997,1,29/07/2013,2013,05:05:53,41484.2124201389,2845,CEFAS,0,1.5,3.569006735,0,1.1,0,17,1,0,10.491897586,6.6505383266500004,-2.35728096962,0.121829658842,67.49496459961,9.3398831666202,2013-07-29T05:05:53Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1050.88333333333,0.7997590055809235,27,14,0.5185185185185185,13,0.48148148148148145,113248.27173045439,Inbound,12523.9451236772,-5.30130491878,50.7028384004,12523.9451236772,62.8833333333333,-988,326,0.9028034280475035,5
997,1,29/07/2013,2013,05:08:30,41484.2142372685,2846,CEFAS,0,1.1,3.4364436277,0,1,0,17,1,0,10.491897586,6.6505383266500004,-2.35728096962,0.121829658842,67.49496459961,9.3398831666202,2013-07-29T05:08:30Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1053.5,0.8017503805175038,27,15,0.5555555555555556,14,0.5185185185185185,113405.251010703,Inbound,12578.9116521357,-5.31173561854,50.7007722602,12578.9116521357,65.5,-988,326,0.9040548505211125,5
997,1,29/07/2013,2013,05:10:14,41484.2154409722,2847,CEFAS,0,1.5,3.4364436277,0,1.1,0,17,1,0,10.491897586,6.6505383266500004,-2.35728096962,0.121829658842,67.49496459961,9.3398831666202,2013-07-29T05:10:14Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1055.23333333333,0.8030695078640284,27,16,0.5925925925925926,15,0.5555555555555556,113376.07906666555,Inbound,12724.1969688251,-5.31697068991,50.7007268873,12724.1969688251,67.2333333333333,-988,326,0.9038222948213442,5
997,1,29/07/2013,2013,05:17:55,41484.2207766204,2848,CEFAS,0,2.3,4.2012307852,0,1.4,1e-4,20,1,0.00429,10.4627560687,7.16692159628,-2.35044002533,0.124351331614,69.62773895264,9.3755252672625,2013-07-29T05:17:55Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1062.91666666667,0.8089167935058347,27,17,0.6296296296296297,16,0.5925925925925926,111120.24209501939,Inbound,15900.59127479,-5.35864808508,50.7189801371,15900.59127479,74.9166666666667,-988,326,0.8858389974164552,5
997,1,29/07/2013,2013,05:36:15,41484.233508101795,2849,CEFAS,0,2.3,4.07886484,0,2.2,0,19,1,0,8.1956750425,7.29783529297,-1.470087409019,0.265932900817,69.64940643311,9.0165716639541,2013-07-29T05:36:15Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1081.25,0.822869101978691,27,18,0.6666666666666666,17,0.6296296296296297,108441.30150477935,Inbound,17300.4529098479,-5.31361445348,50.7455060809,17300.4529098479,93.25,-988,326,0.8644827620280618,5
997,1,29/07/2013,2013,06:00:32,41484.2503715278,2850,CEFAS,0,2.3,3.8851187601,0,1.3,0,28,1,0,8.2898155402,7.88117496657,-1.476124763489,0.263497173973,74.34616851807,9.0584622217158,2013-07-29T06:00:32Z,V,Male,997_1_2013,2013-07-28T11:35:00Z,2013-07-29T09:29:00Z,1314,125440.67535872884,2013-07-29T04:03:00Z,988,-5.24148162882159,50.5967874402752,125.3590356,78862,408.34126857,27,48.5,1105.53333333333,0.841349568746829,27,19,0.7037037037037037,18,0.6666666666666666,101011.2864713206,Inbound,26331.6924906956,-5.40963420416,50.8082945541,26331.6924906956,117.533333333333,-988,326,0.8052514559767291,6
